title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
COVID III state guarantee programme for self-employed and companies up to 500 employees,Czechia,05/18/2020,Access to finance,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-21_894.html
Special support schemes for workers and businesses,Cyprus,06/13/2020,"Income support for people in employment (e.g., short-time work)",01/19/2022,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-24_895.html
Rent subsidies for business which had to stay closed,Slovakia,06/17/2020,Direct subsidies (full or partial) or damage compensation,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-25_896.html
Incentives scheme for airline companies,Cyprus,07/10/2020,Measures to support a gradual relaunch of work,01/19/2022,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-28_897.html
COVID Plus guarantee for loans to export-oriented large companies,Czechia,05/05/2020,Access to finance,05/28/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-19_898.html
COVID Prague guarantee: credit guarantees for SMEs in the Prague region,Czechia,04/21/2020,Access to finance,05/28/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-17_899.html
Operating loan 'Entrepreneur 2020',Slovakia,04/20/2020,Access to finance,04/22/2021,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-17_900.html
Emergency support allowance for artists,Cyprus,04/01/2020,Extensions of income support to workers not covered by any kind of protection scheme,07/15/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-14_901.html
Subsidies for short-time work,Slovenia,06/01/2020,"Income support for people in employment (e.g., short-time work)",10/14/2021,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-23_904.html
Temporary job-search benefit for unemployed who would otherwise not be eligible to receive benefits,Lithuania,06/12/2020,Income support for unemployed,06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-24_906.html
Exceptional unemployment benefits,Slovenia,03/13/2020,Income support for unemployed,01/11/2021,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_907.html
Set of measures to sustain the sectors most hit by the pandemic,Slovenia,05/01/2020,"Support for spending, stimulus packages",01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-18_908.html
Crisis bonus for public employees,Slovenia,03/13/2020,Remuneration and rewards for workers in essential services,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_910.html
Subsidies for older employees in companies that have announced downtime,Lithuania,06/12/2020,"Income support for people in employment (e.g., short-time work)",06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-24_911.html
A lump sum of €200 for pensioners and disabled people,Lithuania,05/15/2020,Protection of vulnerable groups (beyond employment support),06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-20_913.html
Wage subsidies to companies at the end of quarantine,Lithuania,05/15/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-20_914.html
Subsidies for self-employed to reorient their business activities,Lithuania,05/15/2020,Change of production/Innovation,07/15/2020,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-20_915.html
New support package for the economy ,Cyprus,03/01/2020,Access to finance,07/15/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-10_916.html
A lump sum payment for children on top of child benefit,Lithuania,06/12/2020,Support for parents and carers (financial or in kind),06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-24_917.html
Increase of the tax-exempt amount of income for workers earning below the annual minimum wage,Lithuania,07/01/2020,Extensions of income support to workers not covered by any kind of protection scheme,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-27_918.html
Increasing social assistance for low-income households,Lithuania,05/21/2020,Protection of vulnerable groups (beyond employment support),09/19/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-21_919.html
Support for preservation of jobs by micro-entrepreneurs whose economic activity has been disrupted due to a special circumstance caused by Coronavirus (COVID-19) for July 2020,Croatia,07/01/2020,Direct subsidies (full or partial) or damage compensation,11/18/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-27_921.html
Extension of moratorium or deferral payment on loans with Sberbank d.d.,Croatia,07/01/2020,Preventing over-indebtedness,11/18/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-27_922.html
Support to employers in keeping the workplaces,Romania,06/01/2020,"Income support for people in employment (e.g., short-time work)",07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-23_923.html
"Income support for returning Romanian migrant workers, youth and elderly",Romania,06/01/2020,Extensions of income support to workers not covered by any kind of protection scheme,07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-23_924.html
Specific tax relief for companies affected by COVID-19,Romania,04/09/2020,Direct subsidies (full or partial) or damage compensation,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-15_925.html
 Facilities granted for payment of the building tax or building charge,Romania,05/14/2020,Deferral of payments or liabilities,04/29/2021,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-20_926.html
Facilities for payment of rent,Romania,06/21/2020,Deferral of payments or liabilities,07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-26_927.html
Deferment of payment for utilities and rent for SMEs ,Romania,03/21/2020,Deferral of payments or liabilities,07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-12_928.html
Malta Development Bank COVID-19 Guarantee Scheme,Malta,04/03/2020,Access to finance,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-14_931.html
Moratorium on loan repayments,Malta,04/14/2020,Deferral of payments or liabilities,06/01/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-16_932.html
Tripartite agreement for economic reactivation and employment,Spain,07/03/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",02/11/2021,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-27_934.html
In-work benefit for working parents,Malta,06/06/2020,Support for parents and carers (financial or in kind),06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-23_935.html
Skills Development Scheme,Malta,06/09/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-24_936.html
Microinvest Cash Conversion,Malta,06/08/2020,Access to finance,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-24_937.html
Vouchers for use in businesses affected by COVID-19,Malta,06/08/2020,"Support for spending, stimulus packages",06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-24_938.html
Electricity bill refund for companies availing of the wage-subsidy scheme,Malta,06/08/2020,Direct subsidies (full or partial) or damage compensation,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-24_939.html
Grant for restarting small businesses introduced,Ireland,05/22/2020,Measures to support a gradual relaunch of work,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-21_940.html
Consumption cheques for employees,Belgium,06/08/2020,"Support for spending, stimulus packages",10/02/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-24_941.html
COVID-Rent support for entrepreneurs,Czechia,06/26/2020,Direct subsidies (full or partial) or damage compensation,07/19/2021,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-26_942.html
The Kickstart Initiative and incentivising apprenticeships,United Kingdom,07/08/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",01/11/2021,https://static.eurofound.europa.eu/covid19db/cases/GB-2020-28_943.html
The Bounce Back Loan Scheme,United Kingdom,05/04/2020,Access to finance,10/09/2020,https://static.eurofound.europa.eu/covid19db/cases/GB-2020-19_944.html
The Future Fund Scheme,United Kingdom,05/20/2020,Access to finance,10/16/2020,https://static.eurofound.europa.eu/covid19db/cases/GB-2020-21_945.html
Temporary right to unemployment benefits for laid-off third-country nationals,Norway,05/04/2020,Extensions of income support to workers not covered by any kind of protection scheme,07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-19_947.html
Right to combine unemployment benefit with training,Norway,04/20/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",07/20/2021,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-17_949.html
Protection of self-employed and informal workers,Portugal,07/01/2020,Extensions of income support to workers not covered by any kind of protection scheme,05/10/2021,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-27_950.html
Support fund for non-profit organisations,Austria,07/08/2020,Direct subsidies (full or partial) or damage compensation,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-28_951.html
"Reduction of VAT (value added tax) to 5% for gastronomy, accommodation, culture and publications",Austria,07/01/2020,Direct subsidies (full or partial) or damage compensation,01/11/2021,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-27_952.html
Lump-sum payments for unemployed and children,Austria,07/01/2020,Support for parents and carers (financial or in kind),01/11/2021,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-27_953.html
Special protection for COVID-19 risk groups at work,Austria,05/06/2020,Occupational health and safety,11/23/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-19_954.html
"Social support for artists, authors, technicians and other arts professionals",Portugal,07/10/2020,Extensions of income support to workers not covered by any kind of protection scheme,08/05/2020,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-28_955.html
Increased unemployment benefit rate granted during education,Denmark,08/01/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-31_956.html
'SYNERGASIA': Income support for employees working fewer hours,Greece,06/15/2020,"Income support for people in employment (e.g., short-time work)",02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-25_957.html
Support for people at higher risk of severe illness from COVID-19 virus,Denmark,05/20/2020,Paid sick leave,05/11/2021,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-21_958.html
 Support measures regarding seasonal employees,Greece,06/01/2020,"Income support for people in employment (e.g., short-time work)",11/16/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-23_959.html
 Financial support for seasonal employees who are not re-hired in 2020 ,Greece,06/01/2020,Extensions of income support to workers not covered by any kind of protection scheme,12/01/2020,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-23_960.html
Hot meal vouchers for elderly,Romania,07/09/2020,Protection of vulnerable groups (beyond employment support),10/14/2021,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-28_961.html
"Grants for SMEs and entrepreneurs in tourism, accommodation, catering, travel and commerce sectors",Estonia,05/11/2020,Direct subsidies (full or partial) or damage compensation,03/23/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-20_962.html
